Membership No  Date Joined  Active  
    60141      2017-2-20    no    
    84797      2016-6-9     yes   
    30675      2018-8-21    yes   
    49210      2015-3-18    yes   
    20153      2017-3-7     yes   
    15420      2018-11-11   yes   
    29947      2018-3-19    yes   
    71038      2020-8-6     no    
    60930      2017-11-16   no    
    86020      2016-11-10   no    
    19996      2020-7-6     yes   
    20242      2016-1-12    no    
    65274      2018-5-15    yes   
    38916      2016-11-21   yes   
    36704      2018-12-10   yes   
    12030      2017-11-6    yes   
    41411      2018-3-11    yes   
    18052      2018-3-4     no    
    99632      2019-11-7    yes   
    25257      2019-3-22    yes   
