Membership No  Date Joined  Active  
    53767      2020-2-13    no    
    60838      2015-10-11   no    
    70176      2015-1-18    yes   
    41651      2015-6-18    no    
    47807      2015-2-6     no    
    97943      2017-5-23    yes   
    69437      2015-10-2    yes   
    49756      2016-12-4    yes   
    87943      2019-7-25    no    
    26773      2018-6-9     no    
    47880      2016-2-15    no    
    72240      2020-5-2     yes   
    12896      2015-8-11    yes   
    87158      2019-12-15   yes   
    31642      2017-4-9     yes   
    12974      2017-3-7     yes   
    82795      2016-11-11   no    
    11641      2019-3-3     yes   
    11482      2016-6-11    yes   
    17905      2015-10-6    no    
